41.8748, -87.6274
34.0522, -118.2437
40.7128, -74.0060
51.5074, -0.1278
48.8566, 2.3522
35.6895, 139.6917
52.5200, 13.4050
55.7558, 37.6173
19.4326, -99.1332
-33.8651, 151.2099
-22.9083, -43.1964
43.6532, -79.3832
55.6761, 12.5683
37.7749, -122.4194
34.0522, -118.2437
22.5726, 88.3639
-33.4489, -70.6693
-12.0464, -77.0428
48.8566, 2.3522
37.7749, -122.4194
40.7128, -74.0060
19.0760, 72.8777
-22.9083, -43.1964
34.0522, -118.2437
35.6895, 139.6917
52.5200, 13.4050
51.5074, -0.1278
55.7558, 37.6173
-33.8651, 151.2099
41.8748, -87.6274
55.6761, 12.5683
43.6532, -79.3832
-33.4489, -70.6693
37.7749, -122.4194
34.0522, -118.2437
19.4326, -99.1332
-12.0464, -77.0428
48.8566, 2.3522
22.5726, 88.3639
-22.9083, -43.1964
55.7558, 37.6173
34.0522, -118.2437
37.7749, -122.4194
52.5200, 13.4050
19.0760, 72.8777
-33.8651, 151.2099
55.6761, 12.5683
-33.4489, -70.6693
29.0760, 32.8777
59.0760, 42.8777
